ruta_imagen,imagen_id,folder_real,descripcion_vision_llm
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/healthy/h_89.jpg,h_89.jpg,healthy,"The leaf is predominantly green with a smooth texture, featuring a jagged edge and a lighter green area near the center."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/healthy/h_263.jpg,h_263.jpg,healthy,"The leaf is a vibrant green with smooth, glossy texture, featuring prominent parallel veins and a slight curve along its length."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/healthy/h_701.jpg,h_701.jpg,healthy,"The leaf is bright green with smooth texture, prominent parallel veins, and a slight sheen. The edges are smooth and undamaged."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/healthy/h_1442.jpg,h_1442.jpg,healthy,"The leaf is a vibrant green with smooth, elongated shapes and prominent parallel veins running from the base to the tip."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/healthy/h_868.jpg,h_868.jpg,healthy,"The leaf is bright green with smooth, elongated shapes and parallel ridges. It has a slight sheen and a folded appearance."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/healthy/h_1362.jpg,h_1362.jpg,healthy,"The leaf is bright green with smooth, glossy texture, featuring prominent parallel veins and a wavy edge."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/healthy/h_714.jpg,h_714.jpg,healthy,"The leaf is bright green with a smooth texture, featuring prominent parallel veins and a central yellow stripe. Small dark specks are visible."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/sulphur/s_1049.jpg,s_1049.jpg,sulphur,"The leaf is bright green with smooth, glossy surfaces, featuring prominent parallel veins and a slightly wavy edge."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/sulphur/s_45.jpg,s_45.jpg,sulphur,"The leaf is bright green with smooth texture, featuring a prominent central vein and subtle variations in shade across its surface."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/sulphur/s_427.jpg,s_427.jpg,sulphur,"The leaf is bright green with smooth, glossy texture, featuring prominent veins and a slightly wavy edge. No spots or discolorations are visible."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/sulphur/s_599.jpg,s_599.jpg,sulphur,"The leaf is bright green with smooth, elongated shapes and prominent parallel veins, displaying a glossy texture and a uniform color throughout."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/sulphur/s_390.jpg,s_390.jpg,sulphur,"The leaf is bright green with smooth texture, featuring prominent veins and slight variations in color, including lighter green areas and small dark spots."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/sulphur/s_1187.jpg,s_1187.jpg,sulphur,"The leaf displays vibrant green hues with a smooth texture, featuring parallel ridges and a subtle yellowish stripe along the edge."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/sulphur/s_360.jpg,s_360.jpg,sulphur,"The leaf is a vibrant green with smooth, elongated shapes, featuring parallel veins and subtle ridges, and a few small dark green speckles."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/sulphur/s_474.jpg,s_474.jpg,sulphur,"The leaf is bright green with smooth texture, featuring prominent veins and a slightly wavy edge. It has a uniform color without visible spots or patterns."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/sulphur/s_1087.jpg,s_1087.jpg,sulphur,"The leaf is primarily bright green with yellowish areas, featuring a smooth texture and a prominent central vein. Small brown spots are present near the edges."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/sulphur/s_469.jpg,s_469.jpg,sulphur,"The leaf is bright green with smooth, glossy texture, featuring a central vein and subtle, parallel lines extending outward."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/iron/fe_53.jpg,fe_53.jpg,iron,"The leaf is primarily green with smooth, elongated shapes, featuring a few brown, dry edges and subtle lighter green stripes along the veins."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/iron/fe_74.jpg,fe_74.jpg,iron,"The leaf is bright green with smooth, glossy texture, featuring prominent veins and a slightly wavy edge. Light reflects off its surface."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/iron/fe_138.jpg,fe_138.jpg,iron,"The leaf is bright green with smooth texture, featuring a brown, dry area and a slight curl at the edges."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/iron/fe_47.jpg,fe_47.jpg,iron,"The leaf is primarily bright yellow with a smooth texture, featuring small dark brown spots and a prominent central vein. Edges appear slightly curled."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/iron/fe_141.jpg,fe_141.jpg,iron,"The leaf is bright green with smooth texture, prominent veins, and a slightly glossy surface. There are no visible spots or discolorations."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/iron/fe_40.jpg,fe_40.jpg,iron,"The leaf is bright yellow with smooth, glossy surfaces. It has prominent veins and a slightly wavy edge, tapering to a point."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/iron/fe_58.jpg,fe_58.jpg,iron,"The leaf is bright green with smooth, glossy texture, featuring a prominent central vein and subtle lighter stripes running parallel to the edges."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/iron/fe_6.jpg,fe_6.jpg,iron,"The leaf is bright green with smooth texture, featuring a slight curve and a brownish area at the edge."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/iron/fe_43.jpg,fe_43.jpg,iron,"The leaf is predominantly yellow with a gradient to light green at the edges, featuring smooth textures and a wavy shape."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/iron/fe_46.jpg,fe_46.jpg,iron,"The leaf is light green with smooth, glossy texture, featuring prominent veins and subtle ridges along its length."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/boron/b_71.jpg,b_71.jpg,boron,"The leaf is elongated and curved, displaying a gradient from light green at the tip to darker green at the base, with smooth edges."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/boron/b_126.jpg,b_126.jpg,boron,"The leaf is elongated with a smooth, light green surface, featuring subtle variations in shade and a slightly wavy edge."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/boron/b_121.jpg,b_121.jpg,boron,"The leaf is predominantly green with a smooth texture, featuring a light green area and a curved, elongated shape."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/boron/b_162.jpg,b_162.jpg,boron,"The leaf displays a gradient of bright green to light yellow, with smooth, glossy textures and a curled shape."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/boron/b_150.jpg,b_150.jpg,boron,"The leaf is predominantly green with dark green and lighter green stripes. Edges are brown and dry, with some irregular tears and a rough texture."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/boron/b_10.jpg,b_10.jpg,boron,"The leaf is bright yellow with smooth textures, elongated shapes, and a curled form, displaying a uniform color without visible spots or patterns."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/boron/b_26.jpg,b_26.jpg,boron,"The leaf is bright green with smooth, elongated shapes, featuring several large holes and small brown spots along the edges."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/boron/b_73.jpg,b_73.jpg,boron,"The leaf displays a gradient of light green to yellow, with smooth textures and a wavy edge. There are irregular brown patches and soft folds."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/boron/b_68.jpg,b_68.jpg,boron,"The leaf is elongated with a smooth, green surface, featuring yellowish-brown spots and irregular edges, displaying a slight curl at the tips."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/boron/b_64.jpg,b_64.jpg,boron,"The leaf is bright green with smooth texture, elongated shape, and slight wavy edges. No distinct spots or patterns are visible."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/magnesium/mg_170.jpg,mg_170.jpg,magnesium,"The leaf displays a vibrant green color with smooth textures, featuring prominent parallel veins and a slight curl at the edges."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/magnesium/mg_286.jpg,mg_286.jpg,magnesium,"The leaf is bright green with smooth, elongated shapes, featuring subtle ridges and a few small brown spots near the edges."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/magnesium/mg_176.jpg,mg_176.jpg,magnesium,"The leaf displays vibrant green hues with smooth, glossy textures, gently curved edges, and prominent, parallel veins running along its surface."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/magnesium/mg_287.jpg,mg_287.jpg,magnesium,"The leaf is bright green with smooth texture, featuring yellow spots between veins and brown, dry edges along the sides."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/magnesium/mg_103.jpg,mg_103.jpg,magnesium,"The leaf is bright green with a smooth texture, featuring a few small brown spots and a jagged edge on one side."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/magnesium/mg_215.jpg,mg_215.jpg,magnesium,"The leaf is bright green with smooth texture, featuring a slight curve and faint vertical lines, and a small brown spot near the edge."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/magnesium/mg_232.jpg,mg_232.jpg,magnesium,"The leaf is predominantly green with a smooth texture, featuring a central vein and slightly wavy edges. Some areas show lighter green and subtle variations in shade."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/magnesium/mg_149.jpg,mg_149.jpg,magnesium,"The leaf is predominantly green with a smooth texture, featuring dark brown spots and some yellowish areas along the edges and between the veins."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/magnesium/mg_56.jpg,mg_56.jpg,magnesium,"The leaf is bright green with smooth, glossy texture, featuring prominent parallel veins and a slightly curled edge."
./Dataset/downstream_data/Banana Deficiency/Nutrient Deficient Banana Plant Leaves/Nutrient Deficient RAW Images of Banana Leaves/magnesium/mg_128.jpg,mg_128.jpg,magnesium,"The leaf is bright green with smooth texture, featuring dark green stripes and some brown edges along the sides."
